,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,(blank),Grand Total
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
